SPRINGER_PROPERTY_ORG,SPRINGER_ID_ORG,SPRINGER_NAME_ORG,SPRINGER_NAME,NAME_UPPER_ALL,No,H4_Field,H4_Rank,H4_Source,Hisory_4,H3_Field,H3_Rank,H3_Source,History_3,H2_Field,H2_Rank,H2_Source,History_2,H1_Field,H1_Rank,H1_Source,History_1,Title_CORE_ORIG,ALL_UPER,Acro,Source,Rank_CORE_ORIG,Changed?,For,Column,MATCH,COMMENT
,,,,,1064,,,,,"

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,INTERNATIONAL CONFERENCE ON INDUSTRIAL AND ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS,IEA/AIE,CORE2014,C,No,801,,,match by name in core
,,,,,2059,,,,,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||",International Conference on Industrial and Engineering Applications of Artificial Intelligence and Expert Systems,INTERNATIONAL CONFERENCE ON INDUSTRIAL AND ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS,IEAAI,CORE2014,B,No,,,,match by name in core
,,,,,1067,,,,,"

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
",International Conference on Information and Communication Technologies in Tourism,INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES IN TOURISM,ENTER,CORE2014,C,No,806,,,match by name in core
,,,,,2055,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",International Conference on Information and Communication Technologies in Tourism,INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES IN TOURISM,ICTT,CORE2014,C,No,,,,match by name in core
,,,,,1206,,,,,"

 Field Of Research: 0803 - Computer Software
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0803 - Computer Software
","

 Field Of Research: 0803 - Computer Software
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 0803 - Computer Software
","

 Field Of Research: 0803 - Computer Software
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 0803 - Computer Software
",International Conference on Software and Data Technologies,INTERNATIONAL CONFERENCE ON SOFTWARE AND DATA TECHNOLOGIES,ICSoft,CORE2014,B,No,803,,,match by name in core
,,,,,2054,,,,,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||",International Conference on Software and Data Technologies,INTERNATIONAL CONFERENCE ON SOFTWARE AND DATA TECHNOLOGIES,IC-Soft,CORE2014,B,No,,,,match by name in core
,,,,,1260,,,,,"

 Field Of Research: 0805 - Distributed Computing
","

 Rank: B
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: B
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||

 Field Of Research: 0805 - Distributed Computing
","

 Field Of Research: 0805 - Distributed Computing
","

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||

 Field Of Research: 0805 - Distributed Computing
",International Conference on Vector and Parallel Processing,INTERNATIONAL CONFERENCE ON VECTOR AND PARALLEL PROCESSING,VecPar,CORE2014,B,No,805,,,match by name in core
,,,,,1992,,,,,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||",International Conference on Vector and Parallel Processing,INTERNATIONAL CONFERENCE ON VECTOR AND PARALLEL PROCESSING,CONPAR,CORE2014,B,No,,,,match by name in core
,,,,,2168,,,,,,,,,,,,,"

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: Unranked
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: Unranked
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",International Conference on Virtual Rehabilitation,INTERNATIONAL CONFERENCE ON VIRTUAL REHABILITATION,ICVR,CORE2014,Unranked,No,801,,,match by name in core
,,,,,2169,,,,,,,,,,,,,"

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
","

 Rank: Unranked
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: Unranked
||

 Field Of Research: 0801 - Artificial Intelligence and Image Processing
",International Conference on Virtual Rehabilitation,INTERNATIONAL CONFERENCE ON VIRTUAL REHABILITATION,ICWSM,CORE2014,Unranked,No,801,,,match by name in core
,,,,,1311,"

 Field Of Research: 0806 - Information Systems
</div>","

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
</div>","

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
","

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0899 - Other Information and Computing Sciences
",International Information Technology in Regional Areas Conference,INTERNATIONAL INFORMATION TECHNOLOGY IN REGIONAL AREAS CONFERENCE,ITiRA,CORE2014,C,No,899,806,,match by name in core
,,,,,2077,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",International Information Technology in Regional Areas Conference,INTERNATIONAL INFORMATION TECHNOLOGY IN REGIONAL AREAS CONFERENCE,IRITA,CORE2014,C,No,,,,match by name in core
http://lod.springer.com/data/ontology/property/confSeriesName,,,,,1422,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
","

 Field Of Research: 0806 - Information Systems
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0806 - Information Systems
",International Symposium on System Synthesis,INTERNATIONAL SYMPOSIUM ON SYSTEM SYNTHESIS,ISSS,CORE2014,C,No,806,,,match by name in core
http://lod.springer.com/data/ontology/property/confSeriesName,,,,,2139,,,,,,"

 Rank: C
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||",,"

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||",International Symposium on System Synthesis,INTERNATIONAL SYMPOSIUM ON SYSTEM SYNTHESIS,SYSSYN,CORE2014,C,No,,,,match by name in core
,,,,,1577,,,,,"

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: C
","

 Source: ERA2010
","

 Source: ERA2010
||

 Rank: C
||

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: C
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: C
||

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Field Of Research: 0899 - Other Information and Computing Sciences
","

 Rank: C
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: C
||

 Field Of Research: 0899 - Other Information and Computing Sciences
",Journal of Computing Science in Colleges (Conference proceedings),JOURNAL OF COMPUTING SCIENCE IN COLLEGES (CONFERENCE PROCEEDINGS),CCSC,CORE2014,C,No,899,,,match by name in core
,,,,,2086,,,,,,"

 Rank: B
","

 Source: CORE2008
","

 Source: CORE2008
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2013
","

 Source: CORE2013
||

 Rank: B
||",,"

 Rank: B
","

 Source: CORE2014
","

 Source: CORE2014
||

 Rank: B
||",Journal of Computing Science in Colleges (conference proceedings) ,JOURNAL OF COMPUTING SCIENCE IN COLLEGES (CONFERENCE PROCEEDINGS) ,JCSC ,CORE2014,B,No,,,,match by name in core
